sku,category,name,rrp,npp,ean,tariff,weight,size,tax_class
HO-31106,HOBBY,"Fotorückwand blau / schwarz  0,50 x 25 m",0,1.87,4 011444311061,49119100000,0.04,2 x 8 x 8,1
HO-31003,HOBBY,"Fotorückwand blau/schwarz  0,60 x 25 m",0,2.06,4 011444310033,49119100000,0.05,60 x 100 x 0,1
HO-31015,HOBBY,"Fotorückwand Canyon / Woodland  0,30 x 25 m",0,1.22,4 011444310156,49119100000,0.02,30 x 100 x 0,1
HO-31017,HOBBY,"Fotorückwand Canyon / Woodland  0,50 x 25 m",0,1.87,4 011444310170,49119100000,0.04,50 x 100 x 0,1
HO-31018,HOBBY,"Fotorückwand Canyon / Woodland  0,60 x 25 m",0,2.06,4 011444310187,49119100000,0.04,60 x 100 x 0,1
HO-31055,HOBBY,"Fotorückwand Green Secret / Wood Island  0,30 x 25 m",0,1.22,4 011444310552,49119100000,0.02,30 x 100 x 0,1
HO-31056,HOBBY,"Fotorückwand Green Secret / Wood Island  0,40 x 25 m",0,1.67,4 011444310569,49119100000,0.03,40 x 100 x 0,1
HO-31057,HOBBY,"Fotorückwand Green Secret / Wood Island  0,50 x 25 m",0,1.87,4 011444310576,49119100000,0.04,50 x 100 x 0,1
HO-31058,HOBBY,"Fotorückwand Green Secret / Wood Island  0,60 x 25 m",0,2.06,4 011444310583,49119100000,0.04,60 x 100 x 0,1
HO-30996,HOBBY,"Fotorückwand Pflanzen 8 / Marin Blue - 0,30 x 25 m",0,1.15,4 011444309969,,0,,1
HO-30999,HOBBY,"Fotorückwand Pflanzen 8 / Marin Blue - 0,60 x 25 m",0,1.93,4 011444309990,,0,,1
HO-31040,HOBBY,"Fotorückwand Planted River / Green Rocks  0,30 x 25 m",0,1.22,4 011444310408,49119100000,0.02,30 x 100 x 0,1
HO-31041,HOBBY,"Fotorückwand Planted River / Green Rocks  0,50 x 25 m",0,1.87,4 011444310415,49119100000,0.04,50 x 100 x 0,1
HO-31042,HOBBY,"Fotorückwand Planted River / Green Rocks  0,60 x 25 m",0,2.06,4 011444310422,49119100000,0.04,60 x 100 x 0,1
HO-31025,HOBBY,"Fotorückwand Scaper's Hill / Scaper's Forest  0,30 x 25 m",0,1.22,4 011444310255,49119100000,0.02,30 x 100 x 0,1
HO-31027,HOBBY,"Fotorückwand Scaper's Hill / Scaper's Forest  0,50 x 25 m",0,1.87,4 011444310279,49119100000,0.04,2 x 8 x 8,1
HO-31028,HOBBY,"Fotorückwand Scaper's Hill / Scaper's Forest  0,60 x 25 m",0,2.06,4 011444310286,49119100000,0.05,2 x 8 x 8,1
HO-31005,HOBBY,"Fotorückwand Spring / Moss  0,30 x 25 m",0,1.22,4 011444310057,49119100000,0.02,30 x 100 x 0,1
HO-31007,HOBBY,"Fotorückwand Spring / Moss  0,50 x 25 m",0,1.87,4 011444310071,49119100000,0.04,2 x 8 x 8,1
HO-31008,HOBBY,"Fotorückwand Spring / Moss  0,60 x 25 m",0,2.06,4 011444310088,49119100000,0.05,2 x 8 x 8,1
HO-31063,HOBBY,"Fotorückwand-Zuschnitt ""Green Secret / Wood Island""  200 x 60 cm / SB",14.69,7.3,4 011444310637,,0,,1
HO-31208,HOBBY,"Fotorückwand-Zuschnitt Black* / Deep Blue, *selbstklebend  100 x 50 cm, SB",13.49,6.72,4 011444312082,49119100000,0.09,54 x 4 x 4,1
HO-31210,HOBBY,"Fotorückwand-Zuschnitt Black* / Deep Blue, *selbstklebend  120 x 50 cm, SB",16.19,8.07,4 011444312105,49119100000,0.11,54 x 4 x 4,1
HO-31206,HOBBY,"Fotorückwand-Zuschnitt Black* / Deep Blue, *selbstklebend  60 x 30 cm, SB",8.19,4.03,4 011444312068,49119100000,0.03,34 x 4 x 4,1
HO-31129,HOBBY,"Fotorückwand-Zuschnitt blau / schwarz  100 x 50 cm, SB",8.59,4.27,4 011444311290,49119100000,0.04,53 x 4 x 4,1
HO-31130,HOBBY,"Fotorückwand-Zuschnitt blau / schwarz  120 x 50 cm, SB",10.29,5.1,4 011444311306,49119100000,0.05,54 x 4 x 4,1
HO-31138,HOBBY,Fotorückwand-Zuschnitt blau / schwarz  200 x 60 cm / SB,14.69,7.3,4 011444311382,,0,,1
HO-31002,HOBBY,"Fotorückwand-Zuschnitt blau / schwarz  60 x 30 cm, SB",5.79,2.86,4 011444310026,49119100000,0.02,34 x 4 x 4,1
HO-31021,HOBBY,"Fotorückwand-Zuschnitt Canyon / Woodland  100 x 50 cm, SB",8.59,4.27,4 011444310217,49119100000,0.04,53 x 4 x 4,1
HO-31022,HOBBY,"Fotorückwand-Zuschnitt Canyon / Woodland  120 x 50 cm, SB",10.29,5.1,4 011444310224,49119100000,0.05,53 x 4 x 4,1
HO-31023,HOBBY,Fotorückwand-Zuschnitt Canyon / Woodland  200 x 60 cm / SB,14.69,7.3,4 011444310231,,0,,1
HO-31020,HOBBY,"Fotorückwand-Zuschnitt Canyon / Woodland  60 x 30 cm, SB",5.79,2.86,4 011444310200,49119100000,0.02,33 x 4 x 4,1
HO-31214,HOBBY,"Fotorückwand-Zuschnitt Deep Blue* / Black, *selbstklebend  100 x 50 cm, SB",13.49,6.72,4 011444312143,49119100000,0.1,53 x 4 x 4,1
HO-31216,HOBBY,"Fotorückwand-Zuschnitt Deep Blue* / Black, *selbstklebend  120 x 50 cm, SB",16.19,8.07,4 011444312167,49119100000,0.11,53 x 4 x 4,1
HO-31212,HOBBY,"Fotorückwand-Zuschnitt Deep Blue* / Black, *selbstklebend  60 x 30 cm, SB",8.19,4.03,4 011444312129,49119100000,0.04,33 x 4 x 4,1
HO-31232,HOBBY,"Fotorückwand-Zuschnitt Green Dream* / Wooden Sky, *selbstklebend  100 x 50 cm, SB",13.49,6.72,4 011444312327,49119100000,0.09,53 x 4 x 4,1
HO-31234,HOBBY,"Fotorückwand-Zuschnitt Green Dream* / Wooden Sky, *selbstklebend  120 x 50 cm, SB",16.19,8.07,4 011444312341,49119100000,0.11,53 x 4 x 4,1
HO-31230,HOBBY,"Fotorückwand-Zuschnitt Green Dream* / Wooden Sky, *selbstklebend  60 x 30 cm, SB",8.19,4.03,4 011444312303,49119100000,0.04,33 x 4 x 4,1
HO-31061,HOBBY,"Fotorückwand-Zuschnitt Green Secret / Wood Island  100 x 50 cm, SB",8.59,4.27,4 011444310613,49119100000,0.04,54 x 4 x 4,1
HO-31062,HOBBY,"Fotorückwand-Zuschnitt Green Secret / Wood Island  120 x 50 cm, SB",10.29,5.1,4 011444310620,49119100000,0.05,54 x 4 x 4,1
HO-31060,HOBBY,"Fotorückwand-Zuschnitt Green Secret / Wood Island  60 x 30 cm, SB",5.79,2.86,4 011444310606,49119100000,0.02,33 x 4 x 4,1
HO-31220,HOBBY,"Fotorückwand-Zuschnitt Ocean* / Ruby Lake, *selbstklebend  100 x 50 cm, SB",13.49,6.72,4 011444312204,49119100000,0.09,53 x 4 x 4,1
HO-31222,HOBBY,"Fotorückwand-Zuschnitt Ocean* / Ruby Lake, *selbstklebend  120 x 50 cm, SB",16.19,8.07,4 011444312228,49119100000,0.11,53 x 4 x 4,1
HO-31218,HOBBY,"Fotorückwand-Zuschnitt Ocean* / Ruby Lake, *selbstklebend  60 x 30 cm, SB",8.19,4.03,4 011444312181,49119100000,0.04,33 x 4 x 4,1
HO-31226,HOBBY,"Fotorückwand-Zuschnitt Pearl River* / Deep Delta, *selbstklebend  100 x 50 cm, SB",13.49,6.72,4 011444312266,49119100000,0.09,53 x 4 x 4,1
HO-31228,HOBBY,"Fotorückwand-Zuschnitt Pearl River* / Deep Delta, *selbstklebend  120 x 50 cm, SB",16.19,8.07,4 011444312280,49119100000,0.11,53 x 4 x 4,1
HO-31224,HOBBY,"Fotorückwand-Zuschnitt Pearl River* / Deep Delta, *selbstklebend  60 x 30 cm, SB",8.19,4.03,4 011444312242,49119100000,0.03,34 x 4 x 4,1
HO-31135,HOBBY,"Fotorückwand-Zuschnitt Pflanzen 8 / Marin Blue  100 x 50 cm, SB",8.59,4.27,4 011444311351,49119100000,0.04,53 x 4 x 4,1
HO-31136,HOBBY,"Fotorückwand-Zuschnitt Pflanzen 8 / Marin Blue  120 x 50 cm, SB",10.29,5.1,4 011444311368,49119100000,0.05,54 x 4 x 4,1
HO-31137,HOBBY,"Fotorückwand-Zuschnitt Pflanzen 8 / Marin Blue  60 x 30 cm, SB",5.79,2.86,4 011444311375,49119100000,0.02,34 x 4 x 4,1
HO-31044,HOBBY,"Fotorückwand-Zuschnitt Planted River / Green Rocks  100 x 50 cm, SB",8.59,4.27,4 011444310446,49119100000,0.04,53 x 4 x 4,1
HO-31045,HOBBY,"Fotorückwand-Zuschnitt Planted River / Green Rocks  120 x 50 cm, SB",10.29,5.1,4 011444310453,49119100000,0.05,54 x 4 x 4,1
