sku,category,name,rrp,npp,ean,tariff,weight,size,tax_class
AMA-08550,AMA GMBH,"Nature´s Ocean Coral base Rock 18,14 kg
",84.5,49, ,68109900,18.14,37 x 36 x 36,1
AMA-100066,AMA GMBH,Ersatzfilterbeutel 110 mm,8.9,5.1, ,39232990,0.1,,1
AMA-100213,AMA GMBH,Grüne Meeresalgen 25 g,7.05,4.15, ,23099031,0.04,,1
AMA-100214,AMA GMBH,Grüne Meeresalgen 100 g,24.55,14.44,8 12961002142,23099031,0.1,,1
AMA-100300,AMA GMBH,"Reef Bond  500 g, Korallenmörtel",21.95,12.5,8 12961003002,35061000,0.55,22 x 2 x 13,1
AMA-100301,AMA GMBH,"Reef Bond 1000 g, Korallenmörtel",39.5,22.5,8 12961003019,35061000,1,,1
AMA-100302,AMA GMBH,"Reef Bond 5000 g, Korallenmörtel",163.95,93.5, ,35061000,5,,1
AMA-100305,AMA GMBH,"Eco Phos Fe 0,5-2,0 mm  500g",19.9,9.5,8 12961003057,23099031,0.5,,1
AMA-100306,AMA GMBH,"Eco Phos Fe 0,5-2,0 mm 1000g",34.9,16.75,8 12961003064,23099031,1,,1
AMA-100307,AMA GMBH,"Eco Phos Fe 0,5-2,0 mm 5000g",129,69.5,8 12961003071,23099031,5,,1
AMA-100310,AMA GMBH,"Eco Phos Fe 2,0-4,0 mm  500g",19.9,9.5,8 12961003101,23099031,0.5,,1
AMA-100311,AMA GMBH,"Eco Phos Fe 2,0-4,0 mm 1000g",34.9,17.05, ,23099031,1,,1
AMA-100312,AMA GMBH,"Eco Phos Fe 2,0-4,0 mm 5000g",129,69.5,8 12961003125,23099031,5,,1
AMA-100345,AMA GMBH,Eco Carbon Pellett 3 mm  500ml ( Kohle ),6.5,3.95,8 12961003453,28363000,0.5,,1
AMA-100346,AMA GMBH,Eco Carbon Pellett 3 mm 1000ml ( Kohle ),10.9,6.5, ,28363000,1,,1
AMA-100347,AMA GMBH,Eco Carbon Pellett 3 mm 5000ml ( Kohle ),42.5,24.95, ,28363000,5,,1
AMA-100350,AMA GMBH,ECO Carbon Granulat 1-3 mm 500ml ( Kohle ),6.5,3.95,8 12961003507,28363000,0.5,,1
AMA-100351,AMA GMBH,"ECO Carbon Granulat 1-3 mm 1000ml ( Kohle )
",10.9,6.5,8 12961003514,28363000,1,,1
AMA-100352,AMA GMBH,Eco Carbon Granulat 1-3mm 5000ml ( Kohle ),42.9,24.95,8 12961003521,28363000,5,,1
AMA-410151,AMA GMBH,"Samoa Pink Sand 0,5-1,5mm  9,07kg",23.99,14.49,0 29904101514,25174900,9.3,,1
AMA-410701,AMA GMBH,"Natural White Aragonite Live Sand 0,5-1,7mm  9,07kg",35.9,20.5, ,25174900,9.3,,1
AMA-410721,AMA GMBH,"Aragonite Live Reef Substrate 1,0- 2,5mm  7,26kg",35.9,20.5, ,25174900,7.4,,1
AMA-410731,AMA GMBH,"Natural White Aragonite Live Sand 0,1-0,5mm  9,07kg",35.9,20.5, ,25174900,9.3,,1
AMA-410741,AMA GMBH,"Black Beach Live Sand 0,5-1,7mm  9,07kg",36.9,21.9,0 29904107417,25174900,9.3,,1
AMA-410791,AMA GMBH,"Marine White Sand 0,1-0,5mm  9,07kg",23.99,14.49, ,25174900,9.3,,1
AMA-410910,AMA GMBH,"Premium Reaktor Media 4,0-10,0mm  3,79l",27.5,16.1,0 29904109107,84212100,4,,1
AMA-420701,AMA GMBH,"Natural White Aragonite Live Sand 0,5-1,7mm  4,54kg",19.9,10.65,0 29904207018,25174900,4.6,39 x 3 x 28,1
AMA-420721,AMA GMBH,"Aragonite Live Reef Substrate 1,0- 2,5mm  3,63 kg",19.9,10.65, ,25174900,3.8,,1
AMA-420731,AMA GMBH,"Natural White Aragonite Live Sand 0,1-0,5mm  4,54kg",19.9,10.65, ,25174900,4.7,39 x 3 x 28,1
AMA-420741,AMA GMBH,"Black Beach Live Sand 0,5-1,7mm  4,54kg",21.5,12.3,0 29904207414,25174900,4.7,39 x 3 x 28,1
AMA-ADA20x1/2,AMA GMBH,"AMA Adapter 20 mm x 1/2 Zoll (grau)
",2.55,1.5, ,39269097,0.1,,1
AMA-ADA25x3/4,AMA GMBH,"AMA Adapter 25 mm x 3/4 Zoll (grau)

",3.46,2.05, ,39269097,0.1,,1
AMA-ADA32x3/4,AMA GMBH,"AMA Adapter 32 mm x 3/4 Zoll (grau)
",5.39,3.19, ,39269097,0.1,,1
AMA-BH - 01,AMA GMBH,"AMA Durchführung 45 mm x 1 Zoll
",9.1,5.4, ,39269097,0.1,,1
AMA-BH - 04,AMA GMBH,"AMA Durchführung 30 mm x 1/2 Zoll 
",7.2,4.25, ,39269097,0.1,,1
AMA-BH - 05,AMA GMBH,"AMA Durchführung 45 mm x 3/4 Zoll
",8.3,4.9, ,39269097,0.1,,1
AMA-R270850,AMA GMBH,"AMA Kugelgelenkrohr 3/4 Zoll
",10.95,6.55, ,39269097,0.1,,1
AMA-R270852,AMA GMBH,"AMA Auslaufdüse 3/4 Zoll
",9.75,8.85, ,39119099,0.1,,1
AMA-R270854,AMA GMBH,"AMA Anschlußverschraubung 3/4 Zoll (schwarz)
",4.65,2.79, ,39269097,0.15,,1
AMA-R270855,AMA GMBH,"AMA Y Stück 3/4 Zoll
",9.95,5.99, ,39269097,0.1,,1
AMA-R270856,AMA GMBH,"AMA Kugelgelenkrohr 1/2 Zoll 
",8.49,5.12, ,39269097,0.1,,1
AMA-R270859,AMA GMBH,"AMA Auslaufdüse 1/2 Zoll
",6.95,4.19, ,39119099,0.1,,1
AMA-R270860,AMA GMBH,AMA Anschlußverschraubung 1/2 Zoll (schwarz),3.75,2.25, ,39269097,0.15,,1
AMA-R270861,AMA GMBH,"AMA Y Stück 1/2 Zoll
",7.4,4.49, ,39269097,0.1,,1
BEE-1000-1,AQUABEE,Aquabee Keramikachse für UP 1000,5.4,2.9, ,84139100,0.01,,1
BEE-1005.12,AQUABEE,"Aquabee Läuferbaugruppe zu UP 1000
inklusive Keramikachse und Silikonlagern",12.97,7.43,4 260526682050,94059900,0.1,,1
BEE-1005.13,AQUABEE,Aquabee Kreiselgehäuse UP 1000,3.6,2.27, ,94059900,0.02,,1
BEE-104,AQUABEE,"Aquabee cove Scheibenreinigermagnet XL ohne Klinge 135x65x28mm
Innenteil nicht schwimmfähig",439,289,6 957948950352,85051100,0.34,,1
BEE-11.000.14,AQUABEE,"Aquabee Läuferbaugruppe 
für UP 11.000 / 12.000",189,119.7, ,94059900,0.4,,1
BEE-11.000.17,AQUABEE,Aquabee 40mm Rohranschluss für UP 11000 electronic V 24 DC,11,4.91, ,39269097,0.04,,1
BEE-11.000.22,AQUABEE,Aquabee Saugkorb für UP 11000 electronic V 24DC,9.9,5.67, ,39269097,0.03,,1
BEE-2000-0,AQUABEE,"Aquabee Läuferbaugruppe für UP 2000 für Abschäumer
mit Nadelrad",42,26.33, ,94059900,0.07,,1
BEE-2000.11,AQUABEE,"Aquabee Schlauchanschluß UP 2000, 3000",3.8,2.65, ,39269097,0.2,,1
BEE-2000.12,AQUABEE,"Aquabee O-Ring 20x2 für UP 2000, 2000/1, 3000 klein",2.9,1.45, ,39269097,0.05,,1
BEE-2000.13/07,AQUABEE,Aquabee Läuferbaugruppe UP 2000,40.5,26.33, ,94059900,0.2,,1
BEE-2000.14,AQUABEE,"Aquabee O-Ring 42x2  für UP2000, 2000/1, 3000 groß",2.8,1.89, ,39269097,0.01,,1
BEE-2000.15/07,AQUABEE,"Verschluß für UP 2000, UP 2000/1, UP 3000 ",9.9,4.54, ,39269097,0.02,,1
BEE-2000.16,AQUABEE,"Aquabee Bajonettverschluß UP 2000, 2000/1, 3000, 4000",4.9,2.02, ,84139100,0.01,,1
BEE-2000.17,AQUABEE,"Aquabee Deckel UP 2000, 2000/1, 3000",2.9,1.89, ,39269097,0.01,,1
BEE-2000.19,AQUABEE,"Aquabee Sauger 4 Stck.  für  2000, 2000/1, 3000",3.6,2.27, ,84139100,0.01,,1
BEE-2000.20/07,AQUABEE,"Aquabee Silikonlager mit Keramikbuchse, 2 St. verpackt
UP 2000, UP 2000/1, UP 3000, UP 4000 ",7.9,2.84, ,84139100,0.01,,1
BEE-2000.21,AQUABEE,"Aquabee Anschlußstück für Rohr 20  UP 2000, UP 3000",3.8,2.65, ,39269097,0.01,,1
BEE-2000/1.11,AQUABEE,AquaBee Schlauchanschluß für UP2000/1,3.8,2.65, ,39269097,0.05,,1
BEE-2000/1.13/07,AQUABEE,Aquabee Läuferbaugruppe UP 2000/1,42,27.59, ,94059900,0.01,,1
BEE-2000/1.2,AQUABEE,Aquabee Läuferbaugruppe UP 2000/1 für Abschäumer,42,27.59, ,94059900,0.07,,1
BEE-2000/1.21,AQUABEE,Aquabee Anschlußstück für Rohr 20  UP 2000/1,3.8,2.65, ,39269097,0.01,,1
BEE-2000/3000,AQUABEE,"Aquabee Keramikachse fürUP 2000, 2000/1, 3000
(altes Modell)  bis 2007
",7.9,4.79, ,84139100,0.01,,1
BEE-2000/3000neu,AQUABEE,"Aquabee Keramikachse für UP 2000 bis 4000
Neu, ohne rote Hülse",7.9,4.79, ,84139100,0.01,,1
BEE-201,AQUABEE,"Aquabee cove Scheibenreinigermagnet S mit Klinge 85x42x24mm
schwimmfähig",89,57.15,6 957948950284,85051100,0.46,,1
BEE-202,AQUABEE,"Aquabee cove Scheibenreinigermagnet M mit Klinge 105x55x25mm
schwimmfähig",119,76.58,6 957948950321,85051100,0.6,,1
BEE-203,AQUABEE,"Aquabee cove Scheibenreinigermagnet L mit Klinge 120x60x26mm
schwimmfähig",169,101.73,6 957948950352,85051100,0.77,,1
BEE-300/500,AQUABEE,Aquabee Keramikachse für UP  300 / 500,3.9,2.77,4 260526682135,84139100,0.01,,1
BEE-3000.13/07,AQUABEE,Aquabee Läuferbaugruppe UP 3000,43,28.85, ,94059900,0.07,,1
BEE-305.11,AQUABEE,"Aquabee O-Ring  für UP300, 500, 1000",2.8,1.26, ,94059900,0.01,,1
BEE-305.12,AQUABEE,Aquabee Läuferbaugruppe UP  300,10.5,6.55,4 260526682036,94059900,0.09,,1
BEE-305.12/1,AQUABEE,"Aquabee Silikonlager 2 St. verpackt  für UP 300, 500, 1000",2.9,1.89, ,94059900,0.01,,1
BEE-4000.13,AQUABEE,Aquabee Läuferbaugruppe UP 4000,45,37.67, ,94059900,0.09,,1
BEE-5.000.12,AQUABEE,"Aquabee O-Ring für UP 5000/ 6000/ 7000
und UP 5000/ 6000/ 7000 electronic
68 mm x 3 mm",2,1.3, ,94059900,0.01,,1
BEE-5.000.17,AQUABEE,Aquabee Rohranschluss für UP 5000,8,4, ,94059900,0.01,,1
BEE-5.000e.11,AQUABEE,Aquabee Schlauchanschluss für UP 5000 electronic V 24 DC,2.9,1.46, ,94059900,0.01,,1
BEE-5.000e.17,AQUABEE,Aquabee Überwurfmutter für UP 5000 electronic  V 24 DC,5.8,2.9, ,94059900,0.01,,1
BEE-5.000e.22grau,AQUABEE,Aquabee Saugkorb grau für UP 5000/ 6000/ 7000,12.6,6.3, ,94059900,0.02,,1
BEE-5.000e.22weiß,AQUABEE,Aquabee Saugkorb weiß für UP 5000 elekronic V 24 DC,8.8,4.41, ,94059900,0.02,,1
BEE-5000.14/1,AQUABEE,Aquabee Läuferbaugruppe UP 5000  für Abschäumer,97,47.7, ,94059900,0.22,,1
BEE-505.12,AQUABEE,Aquabee Läuferbaugruppe UP  500,10.7,6.8,4 260526682043,94059900,0.02,,1
BEE-505.15,AQUABEE,Aquabee Standfuß komplett UP/ 300/ 500/ 1000,5.5,2.77, ,94059900,0.01,,1
BEE-600.1,AQUABEE,Aquabee Schnellfilterpatrone für UP fein,10.9,7.81,4 260526680186,94059900,0.3,,1
BEE-600.2,AQUABEE,Aquabee Schnellfilterpatrone für UP grob,10.9,7.81,4 260526680193,94059900,0.05,,1
BEE-6000.14,AQUABEE,Aquabee Läuferbaugruppe UP 6000,73.5,47.2,4 260526682883,94059900,0.22,,1
BEE-7000.14,AQUABEE,Aquabee Läuferbaugruppe UP 7000,75,47.75,4 260526682890,94059900,0.21,,1
BEE-7244,AQUABEE,"Aquabee cove Scheibenreinigermagnet S ohne Klinge mit Pad 85x42x24mm
schwimmfähig",79,48.01, ,85051100,0.2,,1
BEE-7245,AQUABEE,"Aquabee cove Scheibenreinigermagnet M ohne Klinge 105x55x25mm
schwimmfähig",99,65.15, ,85051100,0.25,,1
BEE-7246,AQUABEE,"Aquabee cove Scheibenreinigermagnet L ohne Klinge mit Pad 120x60x26mm
schwimmfähig",159,90.3, ,85051100,0.3,,1
BEE-8.000.16,AQUABEE,Aquabee Kreiselgehäuse weiss für UP 8000 electronic V24,23,13.23, ,94059900,0.16,,1
BEE-8.000.17,AQUABEE,Aquabee 32mm Rohranschluss für UP 8000 electronic V 24 DC,9,3.65, ,94059900,0.02,,1
BEE-8.000.22,AQUABEE,Aquabee Saugkorb UP 8000 und 11000,9.9,5.67, ,94059900,0.03,,1
BEE-8000.14A,AQUABEE,Aquabee Läuferbaugruppe für UP 8000 Skimmerpumpe V24,125,100.8, ,94059900,0.1,,1
BEE-Cove 120IS,AQUABEE,"Aquabee Abschäumer Cove IS 120
",299,194.65, ,84137021,3.5,50 x 24 x 16,1
BEE-Cove 130IS,AQUABEE,"Aquabee Abschäumer Cove IS 130
Pumpe: 1000 Ltr. 10 Watt
Maße: 16 x 25 x 50 cm, für den Filtersumpft",370,228.65,4 260526680500,84137021,4.8,50 x 24 x 16,1
BEE-Cove 160,AQUABEE,"Aquabee Abschäumer Cove i 160 DC
Pumpe: 2000 Ltr. 22 Watt
Maße: 21 x 28 x 53 cm, für den Filtersumpft",629,381.65,4 260526680501,84137021,5.2,52 x 28 x 21,1
BEE-Cove 200,AQUABEE,"Aquabee Abschäumer Cove i 200 DC
Pumpe: DC 5000 24 Volt, 0-30 Watt
Maße: 25 x 32 x 56 cm, für den Filtersumpft",899,612,4 260526680502,84137021,7.5,55 x 32 x 24,1
BEE-Cove 240,AQUABEE,"Aquabee Abschäumer Cove i 240
Pumpe: DC 8000 24 Volt, 0-50 Watt
Maße: 29 x 38 x 60 cm, für den Filtersumpft",1099,738.82, ,84137021,8.5,60 x 37 x 28,1
BEE-Cove 320,AQUABEE,"Aquabee Abschäumer Cove i 320 DC
2 X Pumpe: DC 5000 24 Volt, 0-50 Watt
Maße: 35 x 40 x 72 cm, für den Filtersumpft",1799,1232.5,4 260526680504,84137021,15.57,72 x 40 x 35,1
BEE-Cove CR 150,AQUABEE,"Kalkreaktor CR 150
für Aquarien von 500 bis 2000 Liter",890,620.5, ,38249996,11.7,60 x 37 x 28,1
BEE-Cove I-130 DC,AQUABEE,Aquabee Abschäumer Cove I-130 DC,570,348.5, ,84137021,4.8,,1
BEE-Cove-i 160 DC,AQUABEE,Bee-Cove-i 160 DC,629,381.65,4 260526680501,84139100,5.2,,1
BEE-E-5000e.11,AQUABEE,Aquabee Schlauchanschluss,2.95,1.46, ,,0,,1
BEE-E-5000e.12,AQUABEE,"Aquabee O-Ring für UP 5000/ 6000/ 7000
und UP 5000/ 6000/ 7000 electronic
68 mm x 3 mm",5.3,2.65, ,84139100,0.01,,1
BEE-E-5000e.13,AQUABEE,"Aquabee Kreiselgehäuse 
UP 5000 electronic V 24 DC",8.95,4.47, ,84139100,0.02,,1
BEE-E-5000e.14,AQUABEE,Aquabee Läuferbaugruppe UP 5000,97,60.1, ,84139100,0.1,,1
BEE-E-5000e.15,AQUABEE,Aquabee O-Ring 25 x 3 mm,3.9,1.89, ,84139100,0.01,,1
BEE-E-5000e.16,AQUABEE,"Aquabee Keramiklager zu
UP 5000, UP 6000, UP 7000",8.2,4.1,4 260526682814,84139100,0.02,,1
BEE-E-5000e.17,AQUABEE,Aquabee Überwurfmutter für Schlauchanschluss,5.8,2.9, ,84139100,0.1,,1
BEE-E-5000e.18,AQUABEE,Aquabee Standfuß,7.55,3.78, ,84139100,0.03,,1
BEE-E-5000e.21,AQUABEE,"Aquabee Anschlussstück für Rohe, 25 mm",3,1.5, ,84139100,0.02,,1
BEE-E-5000e.22,AQUABEE,Aquabee Saugkorb,8.8,4.41, ,84139100,0.03,,1
BEE-E-5000e.23A,AQUABEE,Aquabee Venturidüse,18.9,9.45, ,84139100,0.01,,1
BEE-E-8000.10,AQUABEE,Aquabee Überwurfring für Kreiselgehäuse,22.45,11.21, ,84139100,0.01,,1
BEE-E-8000.14,AQUABEE,Aquabee Läuferbaugruppe für UP 8000 electronic V24,139,98.28, ,84139100,0.12,,1
BEE-E-8000.15,AQUABEE,Aquabee Dichtungsring für Läufer und Lagerscheibe,9.6,4.79, ,84139100,0.01,,1
BEE-E-8000.16,AQUABEE,Aquabee Kreiselgehäuse,26.5,13.23, ,84139100,0.03,,1
BEE-E-8000.16A,AQUABEE,Aquabee Kreiselgehäuse für Skimmer ( Transparent ),36.5,18.27, ,84139100,0.03,,1
BEE-E-8000.18,AQUABEE,Aquabee Überwurfmutter für UP 8000 electronic V 24 DC,9.1,4.54, ,84139100,0.02,,1
BEE-E-8000.19,AQUABEE,Aquabee Dichtungsring,5.3,2.65, ,84139100,0.01,,1
BEE-E-8000.20,AQUABEE,Aquabee Standfuß,23.95,11.97, ,84139100,0.1,,1
BEE-E-8000.22,AQUABEE,Aquabee Saugkorb für UP 8000 electronic V 24DC und Skimmer 8000 electronic V 24DC,11.35,5.67, ,84137081,0.1,,1
BEE-P 0305,AQUABEE,"Aquabee Universal Kreiselpumpe UP 300, 
300 L/H Hmax 0,6 m 4 Watt",38,23.8,4 260526680001,84137081,0.66,8 x 12 x 13,1
BEE-P 0505,AQUABEE,"Aquabee Universal Kreiselpumpe UP 500, 
500 L/H Hmax 1,2 m 5 Watt",45,28.05,4 260526680018,84137081,0.65,8 x 12 x 13,1
BEE-P 1005,AQUABEE,"Aquabee Universal Kreiselpumpe UP 1000,  
1000 L/H Hmax 1,3 m 10 Watt",49,33.15,4 260526680025,84137081,0.66,8 x 12 x 13,1
BEE-P 11000e/24V,AQUABEE,"Aquabee Universal Kreiselpumpe UP 11000 electronic 24 Volt regelbar mit Controller
",749,467.5,4 260526680131,84137081,3.41,,1
BEE-P 12000e/24V,AQUABEE,"Aquabee Universal Kreiselpumpe UP 12.000 V24
inkl. 220 W Meanwell24 V Netzteil inkl. Controller von 0-130 W",790,493, ,84137081,3.42,,1
BEE-P 2000,AQUABEE,"Aquabee Universal Kreiselpumpe UP 2000,  
2000 L/H Hmax 1,6 m 15 Watt",85,55.25,4 260526680032,84137081,1,9 x 10 x 21,1
BEE-P 2000 A,AQUABEE,"Aquabee Universal Abschäumerpumpe UP  2000
11 Watt",85,63.6, ,84137021,1,9 x 10 x 21,1
BEE-P 2000/1,AQUABEE,"Aquabee Universal Kreiselpumpe UP 2000/1,  
2000 L/H Hmax 3,0 m 33 Watt",99,63.75,4 260526680049,84137081,0.97,,1
BEE-P 2000/1A,AQUABEE,"Aquabee Universal Abschäumerpumpe UP  2000/1,  
22 Watt",127,70.8, ,84137021,0.98,,1
BEE-P 3000,AQUABEE,"Aquabee Universal Kreiselpumpe UP 3000,  
3000 L/H Hmax 2,4 m 40 Watt",105,67.15,4 260526680056,84137081,0.98,8 x 12 x 21,1
BEE-P 4000,AQUABEE,"Aquabee Universal Kreiselpumpe UP 4000,  
4000 L/H Hmax 3,0 m 60 Watt",130,82.5,4 260526680063,84137081,1.07,,1
BEE-P 5000,AQUABEE,"Aquabee Universal Kreiselpumpe UP 5000,  
5000 L/H Hmax 4,7 m 75 Watt",270,178.5,4 260526680070,84137081,1.77,10 x 16 x 25,1
BEE-P 5000e/24 V,AQUABEE,Aquabee Universal Kreiselpumpe UP 5000 electronic 24 V  DC regelbar mit Controller,489,289,4 260526680117,84137081,1.85,,1
BEE-P 5000e/24V/A,AQUABEE,Aquabee Universal Abschäumerpumpe UP 5000 24 V  mit Controller,520,306,4 260526680278,84137029,1.8,,1
BEE-P 6000,AQUABEE,"Aquabee Universal Kreiselpumpe UP 6000,  
6000 L/H Hmax 5,0 m 100 Watt",280,187,4 260526680087,84137081,1.78,10 x 16 x 25,1
BEE-P 7000,AQUABEE,"Aquabee Universal Kreiselpumpe UP 7000,  
7000 L/H Hmax 5,0 m 125 Watt",299,204,4 260526680094,84137081,1.79,10 x 16 x 25,1
BEE-P 8000e/24V,AQUABEE,Aquabee Universal Kreiselpumpe UP 8000 electronic 24 Volt regelbar mit Controller,520,330.65,4 260526680124,84137081,2.49,,1
BEE-P 8000e/24V/A,AQUABEE,Aquabee Universal Abschäumerpumpe UP 8000 elektronic / 24 Volt regelbar,549,339.15, ,84137021,2.5,,1
BEE-P-5000 E/Str.,AQUABEE,Aquabee Erweiterungsmodul,95,63.87,4 260526680162,84137081,0.55,,1
BEE-P-5000 M/Str.,AQUABEE,Aquabee Ansaugmodul für Stream 5000,17,11.43,4 260526680179,84137081,0.1,,1
BEE-p-5000Str.,AQUABEE,"Aquabee Universal Strömungspumpe Stream 5000 
( inkl. 1 Netzteil 24V, 1 Pumpenmodul 24V/12W, 1 Ansaugmodul, 1 Regelung)",150,90,4 260526680155,84137021,1.06,10 x 13 x 22,1
BEE-xxx,AQUABEE,"Aquabee Schnittstellen Kabel 1-10 V zu GHL Profilux Computer
eine Seite Westernkabel andere Seite Chinch",9.9,5.5, ,84139100,0.06,,1
AC-02300,AQUACONNECT,"NITRA remove 1+2 300 g / 250 ml
Granulat zur sicheren Entfernung von Nitrat und Phosphat mit optischer Anzeige bei Sättigung.
",32.8,18.06,4 039966023002	,38249996,0.3,,1
AC-02400,AQUACONNECT,"DINO remove 250ml bekämpft zuverlässig Algenplagen aller Art. Seine einzigartigen Wirkstoffe führen schon nach kurzer Zeit zum gewünschten Erfolg.
",25.5,15,4 039966023002,38249996,0.25,17 x 4 x 4,1
AC-02401,AQUACONNECT,"DINO remove Liquid 500ml bekämpft zuverlässig Algenplagen aller Art. Seine einzigartigen Wirkstoffe führen schon nach kurzer Zeit zum gewünschten Erfolg.
",47.9,28.18,4 039966024016,38249996,0.25,,1
AC-02402,AQUACONNECT,High Energy coral food 250 ml ,24.9,12.45,4 039966024023,23099031,0.25,,1
AC-02500,AQUACONNECT,CYANO remove 300g ist ein speziell entwickeltes Produkt zur Entfernung von Cyano-Belägen.,32.9,18.28,4 039966025006	,38249996,0.3,11 x 7 x 8,1
AC-02502,AQUACONNECT,CYANO remove 600 g ist ein speziell entwickeltes Produkt zur Entfernung von Cyano-Belägen.,57.5,31.95,4 039966025013	,38249996,0.5,,1
AC-02506,AQUACONNECT,CYANO remove liquid 250 ml,27.5,15.25,4 039966025068,25010099,0.25,,1
AC-02600,AQUACONNECT,POSIclear plus 500ml ist ein Wirkstoffpräparat zur Bioaktivierung und multifunktionalen Wasseraufbereitung in Süß- und Meerwasseraquarien.,13.9,7.9,4 039966026003	,38249996,0.5,,1
AC-02700,AQUACONNECT,"NUTRIENT supplier 500ml ist ein Transportmedium zur effektiven Nährstoffversorgung von Stein- und Weichkorallen, Muscheln und Filtrierern.",22.5,11.25,4 039966027000	,38249996,0.5,,1
AC-02800,AQUACONNECT,Toxi remove 500ml ist die sofortige Entgiftungshilfe und Notfallmaßnahme in Meer- und Süßwasseraquarien.,17.9,8.95,4 039966028007	,38249996,0.5,,1
AC-02900,AQUACONNECT,BIObasic 250 ml entfernt Nitat und Phosphat,14.9,7.85,4 039966024757,28211000,0.25,,1
AC-02901,AQUACONNECT,BIObasic 500 ml entfernt Nitat und Phosphat,24.9,13.1, ,28211000,0.5,,1
AC-03500,AQUACONNECT,QUALITY carbon 500 g / 1000 ml Hochwertige Aktivkohle für Süß- und Meerwasseraquarien,14.95,8.3,4 039966035005	,38021000,0.5,,1
AC-15024,AQUACONNECT,LongLife Flügel-Reflektor f. 24W,14.5,8,4 039966150241	,90029000,0.1,,1
AC-15039,AQUACONNECT,LongLife Flügel-Reflektor f. 39W,17.5,9.5,4 039966150395	,90029000,0.15,,1
AC-15054,AQUACONNECT,LongLife Flügel-Reflektor f. 54W,21,11.5,4 0399661505548	,90029000,0.11,,1
AC-15080,AQUACONNECT,LongLife Flügel-Reflektor f. 80W,24.5,13.5,4 039966150807	,90029000,0.19,,1
AC-15724,AQUACONNECT,T5 Einbaubalken 1x24W,99,59,4 039966157240	,94054095,2.5,,1
AC-15739,AQUACONNECT,T5 Einbaubalken 1x39W,109,64,4 039966157394	,94054095,2.7,,1
AC-15754,AQUACONNECT,T5 Einbaubalken 1x54W,119,69,4 039966157457	,94054095,3,,1
AC-15780,AQUACONNECT,T5 Einbaubalken 1x80W,135,79,4 0399666157806	,94054095,3.5,,1
AC-15824,AQUACONNECT,T5 Einbaubalken 2x24W,109,64,4 039966158247	,94054095,3,,1
AC-15825,AQUACONNECT,T5 Einbaubalken 2x24W dimmbar,169,99,4 039966158254	,94054095,3,,1
AC-15839,AQUACONNECT,T5 Einbaubalken 2x39W,119,69,4 039966158391	,94054095,3.5,,1
AC-15840,AQUACONNECT,T5 Einbaubalken 2x39W dimmbar,179,105,4 039966158407	,94054095,3.5,,1
AC-15854,AQUACONNECT,T5 Einbaubalken 2x54W,129,74,4 0399158544	,94054095,0.1,,1
AC-15855,AQUACONNECT,T5 Einbaubalken 2x54W dimmbar,189,112,4 039966158551	,94054095,4,,1
AC-15880,AQUACONNECT,T5 Einbaubalken 2x80W,149,89,4 039966158803	,94054095,4.5,,1
AC-15881,AQUACONNECT,T5 Einbaubalken 2x80W dimmbar,209,123,4 039966158810	,94054095,4.5,,1
AC-16024,AQUACONNECT,LUMIMASTER 4x24W,209,123,4 039966160240	,94054095,4.5,,1
AC-16039,AQUACONNECT,LUMIMASTER 4x39W,239,140,4 039966160394	,94054095,4,,1
AC-16054,AQUACONNECT,LUMIMASTER 4x54W,269,158,4 039966160547	,94054095,6.3,,1
AC-16080,AQUACONNECT,LUMIMASTER 4x80W,299,180,4 039966160806	,94054095,5,,1
AC-16124,AQUACONNECT,Reflektor LongLife Parabolrefektor für LUMIMASTER 24W beschichtet,11.95,6.3,4 039966161247	,90029000,0.1,,1
AC-16139,AQUACONNECT,Reflektor LongLife Parabolrefektor für LUMIMASTER 39W beschichtet,15,8.1,4 039966161391	,90029000,0.15,,1
AC-16154,AQUACONNECT,Reflektor LongLife Parabolrefektor für LUMIMASTER 54W beschichtet,18,10,4 039966161544	,90029000,0.2,,1
AC-16180,AQUACONNECT,Reflektor LongLife Parabolrefektor für LUMIMASTER 80W beschichtet,21,11.6, ,90029000,0.04,,1
AC-16624,AQUACONNECT,LUMIMASTER 6x24W,319,192.5,4 039966166242	,94054095,5.44,,1
AC-16639,AQUACONNECT,LUMIMASTER 6x39W,339,206,4 039966166396	,94054095,5.9,,1
AC-16654,AQUACONNECT,LUMIMASTER 6x54W,369,225,4 039966166549	,94054095,6.3,,1
AC-16680,AQUACONNECT,LUMIMASTER 6x80W,449,274,4 039966166808	,94054095,7,,1
AC-17024,AQUACONNECT,LUMIMASTER 4x24W dimmbar,329,199,4 039966170249	,94054095,4.5,,1
AC-17039,AQUACONNECT,LUMIMASTER 4x39W dimmbar,344,209,4 039966170393	,94054095,5.9,,1
AC-17054,AQUACONNECT,LUMIMASTER 4x54W dimmbar,359,219,4 039966170546	,94054095,6.3,,1
AC-17080,AQUACONNECT,LUMIMASTER 4x80W dimmbar,449,275,4 039966170805	,94054095,7,,1
AC-21211,AQUACONNECT,contraphos 600g,16.95,9.41,4 039966212116	,28211000,0.6,,1
AC-21301,AQUACONNECT,contraphos Konzentrat  1000g,34.9,25.99,4 039966213014	,28211000,1,,1
AC-21501,AQUACONNECT,"silicarbon 400 g
",16.95,9.41,4 039966215018	,38249996,0.4,26 x 7 x 16,1
